total_value,neighborhood,area,year,deposit,rent,elavator,parking,warehouse
1050000000.0, تجریش ,135,1399,1050000000.0,0.0,1,1,1
600030000.0, کوی فردوس ,110,1397,600000000.0,1000000.0,1,1,1
55180000.0, امام حسین(ع) ,86,1397,55000000.0,6000000.0,1,1,1
100210000.0, شهر زیبا ,105,1395,100000000.0,7000000.0,1,1,1
150096000.0, نارمک ,85,1388,150000000.0,3200000.0,0,0,1
0.0, دروس ,180,1399,0.0,0.0,1,1,1
700000000.0, تهرانپارس غربی ,136,1399,700000000.0,0.0,1,1,1
3500000.0, جیحون ,85,1394,3500000.0,0.0,1,1,1
3700000000.0, محمودیه ,230,1399,3700000000.0,0.0,1,1,1
700000000.0, یوسف‌آباد ,127,1388,700000000.0,0.0,1,1,1
200900000.0, دروس ,250,1385,200000000.0,30000000.0,1,1,1
360000000.0, تهران‌سر ,100,1397,360000000.0,0.0,1,1,1
605000000.0, پونک ,120,1396,350000000.0,8500000000.0,1,1,1
600000000.0, پاسداران ,110,1384,600000000.0,0.0,1,1,1
300450000.0, قیطریه ,115,1397,300000000.0,15000000.0,1,1,1
0.0, نواب ,85,1389,0.0,0.0,0,0,1
200180000.0, جنت‌آباد جنوبی ,82,1394,200000000.0,6000000.0,1,1,1
200255000.0, جنت‌آباد شمالی ,110,1396,200000000.0,8500000.0,1,1,1
300390000.0, سعادت‌آباد ,120,1397,300000000.0,13000000.0,1,1,1
1900003000.0, فرمانیه ,185,1399,1900000000.0,100000.0,1,1,1
501500000.0, زعفرانیه ,350,1384,500000000.0,50000000.0,1,1,1
600000000.0, قنات‌کوثر ,120,1396,600000000.0,0.0,1,1,1
3300000000.0, زعفرانیه ,235,1396,3300000000.0,0.0,1,1,1
0.0, ابوذر (منطقه ۱۵) ,112,1396,0.0,0.0,1,1,1
400120000.0, مرزداران ,140,1380,400000000.0,4000000.0,0,1,1
300525000.0, میرداماد ,160,1384,300000000.0,17500000.0,1,1,1
100150000.0, شهرک راه‌آهن ,100,1386,100000000.0,5000000.0,0,0,1
200255000.0, چیتگر ,150,1399,200000000.0,8500000.0,1,1,1
2000000000.0, دربند ,240,1386,2000000000.0,0.0,1,1,1
70075000.0, دولت‌آباد ,74,1394,70000000.0,2500000.0,1,0,1
300150000.0, دریاچه شهدای خلیج فارس ,115,1397,300000000.0,5000000.0,1,1,1
0.0, ابوذر (منطقه ۱۵) ,55,1392,0.0,0.0,1,0,1
600540000.0, سوهانک ,200,1385,600000000.0,18000000.0,1,1,1
200570000.0, ولنجک ,120,1397,200000000.0,19000000.0,1,1,1
200045000.0, منیریه ,70,1391,200000000.0,1500000.0,1,1,1
30036000.0, پاکدشت ,70,1394,30000000.0,1200000.0,1,0,1
0.0, جردن ,230,1377,0.0,0.0,1,1,1
0.0, اقدسیه ,280,1399,0.0,0.0,1,1,1
120009000.0, مخصوص ,52,1385,120000000.0,300000.0,0,0,1
700150000.0, تجریش ,130,1390,700000000.0,5000000.0,1,1,1
800000000.0, شهرک نفت (منطقه ۱) ,125,1392,800000000.0,0.0,1,1,1
350090000.0, پونک ,100,1377,350000000.0,3000000.0,0,1,1
5500000000.0, الهیه ,280,1399,5500000000.0,0.0,1,1,1
0.0, ازگل ,147,1399,0.0,0.0,1,1,1
400000000.0, پیروزی ,110,1399,400000000.0,0.0,1,1,1
250420000.0, قیطریه ,120,1395,250000000.0,14000000.0,1,1,1
25105000.0, پیروزی ,60,1386,25000000.0,3500000.0,0,0,1
501200000.0, فرمانیه ,250,1388,500000000.0,40000000.0,1,1,1
820000000.0, اختیاریه ,130,1388,820000000.0,0.0,1,1,1
610000000.0, شهران جنوبی ,150,1399,610000000.0,0.0,1,1,1
100240000.0, اقدسیه ,82,1393,100000000.0,8000000.0,1,1,1
0.0, نیاوران ,240,1396,0.0,0.0,1,1,1
0.0, اقدسیه ,250,1389,0.0,0.0,1,1,1
1800000000.0, سعادت‌آباد ,200,1390,1800000000.0,0.0,1,1,1
400180000.0, جنت‌آباد مرکزی ,116,1399,400000000.0,6000000.0,1,1,1
300750000.0, فرمانیه ,230,1386,300000000.0,25000000.0,1,1,1
300054000.0, باغ فیض ,77,1386,300000000.0,1800000.0,1,1,1
300465000.0, نیاوران ,120,1394,300000000.0,15500000.0,1,1,1
0.0, شهرآرا ,95,1399,0.0,0.0,1,1,1
0.0, سوهانک ,200,1392,0.0,0.0,1,1,1
0.0, شهرک راه‌آهن ,160,1380,0.0,0.0,0,1,1
450000000.0, سازمان برنامه ,80,1396,450000000.0,0.0,1,1,1
400360000.0, جردن ,175,1384,400000000.0,12000000.0,1,1,1
80135000.0, باغ فیض ,60,1382,80000000.0,4500000.0,1,1,1
300600000.0, ولنجک ,170,1387,300000000.0,20000000.0,1,1,1
600000000.0, مرزداران ,115,1390,600000000.0,0.0,1,1,1
20066000.0, باغ خزانه ,65,1375,20000000.0,2200000.0,0,0,1
2500000000.0, دروس ,265,1399,2500000000.0,0.0,1,1,1
0.0, سعادت‌آباد ,125,1395,0.0,0.0,1,1,1
501350000.0, دروس ,270,1391,500000000.0,45000000.0,1,1,1
0.0, پاسداران ,120,1390,0.0,0.0,1,1,1
200150000.0, شاهین ,90,1390,200000000.0,5000000.0,1,1,1
400105000.0, باغ فیض ,95,1385,400000000.0,3500000.0,1,1,1
300180000.0, کوی فردوس ,87,1398,300000000.0,6000000.0,1,1,1
670600000.0, سعادت‌آباد ,122,1399,670000000.0,20000000.0,1,1,1
100210000.0, سعادت‌آباد ,75,1386,100000000.0,7000000.0,1,1,1
270210000.0, شهرآرا ,94,1399,270000000.0,7000000.0,1,1,1
150555000.0, الهیه ,141,1390,150000000.0,18500000.0,1,1,1
500450000.0, گلاب دره ,135,1399,500000000.0,15000000.0,1,1,1
501650000.0, زعفرانیه ,180,1390,500000000.0,55000000.0,1,1,1
160000000.0, تهران‌سر ,50,1388,160000000.0,0.0,0,1,1
590000000.0, سازمان برنامه ,115,1397,590000000.0,0.0,1,1,1
1600000000.0, سعادت‌آباد ,145,1397,1600000000.0,0.0,1,1,1
30087000.0, مجیدیه ,50,1398,30000000.0,2900000.0,1,1,1
0.0, کامرانیه ,240,1396,0.0,0.0,1,1,1
30075000.0, شهر ری - استخر ,85,1385,30000000.0,2500000.0,0,0,1
590000000.0, فرمانیه ,125,1390,200000000.0,13000000000.0,1,1,1
0.0, مرزداران ,120,1399,0.0,0.0,1,1,1
100180000.0, شهرک نفت (منطقه ۵) ,85,1388,100000000.0,6000000.0,1,1,1
500060000.0, صادقیه ,120,1399,500000000.0,2000000.0,1,1,1
400360000.0, هروی ,145,1396,400000000.0,12000000.0,1,1,1
0.0, سعادت‌آباد ,200,1397,0.0,0.0,1,1,1
150255000.0, جنت‌آباد جنوبی ,130,1395,150000000.0,8500000.0,1,1,1
